"date","calories_in","calories_out","deficit","day_number"
"2025-12-28","1800","300","999","1"
"2025-12-29","2500","0","-3","2"
"2025-12-30","2000","0","497","3"
"2025-12-31","2900","562","159","4"
"2026-01-01","3100","0","-604","5"
"2026-01-02","2300","300","497","6"
"2026-01-03","2200","0","297","7"
"2026-01-04","3800","0","-1304","8"
"2026-01-05","1600","0","898","9"
"2026-01-06","1800","317","1014","10"
"2026-01-07","2300","400","595","11"
"2026-01-08","1800","0","694","12"
"2026-01-09","1700","300","1093","13"
"2026-01-10","3400","0","-909","14"
"2026-01-11","1800","0","693","15"
"2026-01-12","1900","0","592","16"
"2026-01-13","2500","424","415","17"
"2026-01-14","2500","407","397","18"
"2026-01-15","1500","0","990","19"
"2026-01-16","2500","150","138","20"
"2026-01-17","2900","700","288","21"
"2026-01-18","1900","0","587","22"
"2026-01-19","2300","0","187","23"
"2026-01-20","2400","417","503","24"
"2026-01-21","1700","0","785","25"
"2026-01-22","2200","379","663","26"
"2026-01-23","2600","500","383","27"
"2026-01-24","2100","0","383","28"
"2026-01-25","2200","700","982","29"
"2026-01-26","1600","275","1155","30"
"2026-01-27","2700","300","79","31"
"2026-01-28","2800","386","65","32"
"2026-01-29","2000","0","478","33"
"2026-01-30","3100","0","-622","34"
"2026-01-31","3800","444","-877","35"
"2026-02-01","2900","534","114","36"
"2026-02-02","3600","500","-620","37"
"2026-02-03","3000","0","-519","38"
"2026-02-04","2200","0","282","39"
"2026-02-05","2450","0","31","40"
"2026-02-06","2400","483","563","41"
"2026-02-07","2500","627","607","42"
"2026-02-08","2400","0","79","43"
"2026-02-09","2100","0","379","44"
"2026-02-10","2400","0","78","45"
"2026-02-11","2500","503","481","46"
"2026-02-12","1800","0","678","47"
"2026-02-13","2500","300","277","48"
"2026-02-14","3800","422","-902","49"
"2026-02-15","3200","700","-22","50"
"2026-02-16","1800","0","678","51"
"2026-02-17","1400","0","1077","52"
"2026-02-18","2100","450","825","53"
"2026-02-19","2300","0","174","54"
"2026-02-20","1900","416","988","55"
"2026-02-21","1800","0","672","56"
"2026-02-22","300","0","2171","57"